Ticker,Date,Open,High,Low,Close,Volume
SPY,2015/6/2,211.02,212.19,210.27,211.36,91531012
SPY,2015/6/3,212,212.67,211.3301,211.92,87820909
SPY,2015/6/4,211.07,211.859,209.75,210.1292,151882820
SPY,2015/6/5,209.95,210.58,208.98,209.77,121704676
SPY,2015/6/8,209.64,209.82,208.39,208.48,89063330
SPY,2015/6/9,208.45,209.1,207.69,208.45,105034690
SPY,2015/6/10,209.37,211.41,209.2987,210.95,134551285
SPY,2015/6/11,211.48,212.09,211.2,211.63,73876447
SPY,2015/6/12,210.64,211.482,209.68,210.01,135382369
SPY,2015/6/15,208.64,209.45,207.79,209.11,124384184
SPY,2015/6/16,208.93,210.35,208.72,210.25,85308227
SPY,2015/6/17,210.59,211.32,209.36,210.59,126708635
SPY,2015/6/18,211.31,213.34,210.6315,212.78,165867949
SPY,2015/6/19,211.46,211.55,210.36,210.81,130478689
SPY,2015/6/22,211.905,212.59,211.64,211.89,70696027
SPY,2015/6/23,212.14,212.44,211.57,212.04,68476797
SPY,2015/6/24,211.72,212.17,210.47,210.5,92307318
SPY,2015/6/25,211.1,211.25,209.77,209.86,97107361
SPY,2015/6/26,210.29,210.58,209.16,209.82,104174840
SPY,2015/6/29,208.045,209.828,205.33,205.42,202621332
SPY,2015/6/30,207.26,207.32,205.28,205.85,182925106
SPY,2015/7/1,207.73,208.03,206.56,207.5,135979873
SPY,2015/7/2,208.07,208.27,206.81,207.31,104373652
SPY,2015/7/6,205.77,207.65,205.53,206.72,117975369
SPY,2015/7/7,206.96,208.17,204.11,208.02,173820249
SPY,2015/7/8,206.42,206.7645,204.25,204.53,164020059
SPY,2015/7/9,207.04,207.35,204.77,204.9,144113107
