Ticker,Date,Open,High,Low,Close,Volume
TLT,2005/1/5,87.99,88.55,87.94,88.28,1094100
TLT,2005/1/6,88.29,88.54,88.22,88.34,1057400
TLT,2005/1/7,88.76,88.87,88.35,88.54,738700
TLT,2005/1/10,88.64,88.72,88.47,88.68,379400
TLT,2005/1/11,88.9,89.28,88.74,89.2,845100
TLT,2005/1/12,88.87,89.44,88.8,89.32,722000
TLT,2005/1/13,89.75,90.18,89.73,90.18,1876700
TLT,2005/1/14,89.9,90.4,89.81,90.17,1043800
TLT,2005/1/18,89.8,90.49,89.73,90.47,1251600
TLT,2005/1/19,90.8,90.84,90.27,90.73,655800
TLT,2005/1/20,90.42,91.02,90.35,90.91,1064200
TLT,2005/1/21,90.6,91.05,90.52,91.01,606300
TLT,2005/1/24,91.09,91.5,91,91.4,561400
TLT,2005/1/25,91.36,91.4,90.51,90.54,1942200
TLT,2005/1/26,90.85,90.92,90.63,90.71,709800
TLT,2005/1/27,90.52,90.7,90.34,90.54,463900
TLT,2005/1/28,91.22,91.6,91.17,91.45,1128000
TLT,2005/1/31,91.33,91.75,91.29,91.71,1313900
TLT,2005/2/1,91.44,91.5,91.05,91.22,948200
TLT,2005/2/2,91.2,91.46,91.09,91.43,760300
TLT,2005/2/3,91.06,91.44,91.06,91.35,506000
TLT,2005/2/4,92.47,92.94,92.46,92.65,3483900
TLT,2005/2/7,92.74,93.42,92.7,93.34,1064600
TLT,2005/2/8,93.37,94.12,93.33,93.87,1383800
TLT,2005/2/9,93.44,94.24,93.38,94.12,2125800
TLT,2005/2/10,93.49,93.68,92.75,92.85,1239900
TLT,2005/2/11,92.46,92.98,92.4,92.79,1275100
TLT,2005/2/14,92.9,93.21,92.73,93.08,295000
TLT,2005/2/15,92.6,92.86,92.57,92.61,900100
TLT,2005/2/16,92.51,92.57,91.8,92.26,1189700
TLT,2005/2/17,91.76,92.14,91.6,91.68,1146500
TLT,2005/2/18,90.55,90.95,90.46,90.86,2656300
TLT,2005/2/22,90.63,90.75,90.4,90.46,914600
TLT,2005/2/23,91.14,91.17,90.43,90.76,1115000
